Faculty,1st Semester,2nd Semester,Average,Classification,Value
661,2.7,4.5,3.6,Performer,1
662,4.6,2.7,3.65,Performer,1
663,1.8,1.3,1.55,Non-Performer,2
664,2.2,2.2,2.2,Non-Performer,2
665,3.7,4.4,4.05,Performer,1
666,3.6,3.6,3.6,Performer,1
667,2,2.6,2.3,Non-Performer,2
668,1.4,3.2,2.3,Non-Performer,2
669,2,3.1,2.55,Non-Performer,2
670,1.8,2.2,2,Non-Performer,2
671,1.9,3.2,2.55,Non-Performer,2
672,2,4.3,3.15,Performer,1
673,2.9,1.1,2,Non-Performer,2
674,4.6,4.4,4.5,Performer,1
675,4.2,3.7,3.95,Performer,1
676,2.6,3.7,3.15,Performer,1
677,2.2,2,2.1,Non-Performer,2
678,3.8,1.8,2.8,Non-Performer,2
679,2.5,4,3.25,Performer,1
680,4.1,4,4.05,Performer,1
681,3.8,3.4,3.6,Performer,1
682,2.6,2.1,2.35,Non-Performer,2
683,3.6,4.4,4,Performer,1
684,4.1,4.6,4.35,Performer,1
685,1.1,1.8,1.45,Non-Performer,2
686,1.4,2.5,1.95,Non-Performer,2
687,1.6,2.8,2.2,Non-Performer,2
688,3.4,3.1,3.25,Performer,1
689,3.1,4.3,3.7,Performer,1
690,1.4,4.8,3.1,Performer,1
691,1.8,3,2.4,Non-Performer,2
692,3.1,3.6,3.35,Performer,1
693,2.6,3.5,3.05,Performer,1
694,2.7,4.3,3.5,Performer,1
695,4.5,4.4,4.45,Performer,1
696,4.4,4.8,4.6,Performer,1
697,1.3,4.6,2.95,Non-Performer,2
698,4.2,2,3.1,Performer,1
699,2,2.2,2.1,Non-Performer,2
700,4.5,4.3,4.4,Performer,1
701,1.5,4.5,3,Performer,1
702,4.6,4.5,4.55,Performer,1
703,1.1,2.1,1.6,Non-Performer,2
704,1.7,4.9,3.3,Performer,1
705,1.8,2.9,2.35,Non-Performer,2
706,2.8,3.1,2.95,Non-Performer,2
707,2.1,4.7,3.4,Performer,1
708,3.3,3.6,3.45,Performer,1
709,3.2,4.7,3.95,Performer,1
710,4.3,4.1,4.2,Performer,1
711,3.3,3.2,3.25,Performer,1
712,2.1,2.7,2.4,Non-Performer,2
713,2.4,1.3,1.85,Non-Performer,2
714,1.6,1.2,1.4,Non-Performer,2
715,2.5,4.5,3.5,Performer,1
716,1.6,1.1,1.35,Non-Performer,2
717,1.6,1.4,1.5,Non-Performer,2
718,4,3.5,3.75,Performer,1
719,2.6,1.1,1.85,Non-Performer,2
720,4.4,1.5,2.95,Non-Performer,2
721,1.4,1.3,1.35,Non-Performer,2
722,2.1,4,3.05,Performer,1
723,3.2,4.4,3.8,Performer,1
724,2.8,1.7,2.25,Non-Performer,2
725,2.5,4.4,3.45,Performer,1
726,3.8,3.9,3.85,Performer,1
727,1.6,2.8,2.2,Non-Performer,2
728,4.1,3.9,4,Performer,1
729,1.6,2.7,2.15,Non-Performer,2
730,1.3,1.5,1.4,Non-Performer,2
731,2.1,4.6,3.35,Performer,1
732,2.5,2.3,2.4,Non-Performer,2
733,1.2,3.2,2.2,Non-Performer,2
734,2.3,4.4,3.35,Performer,1
735,2.5,4.1,3.3,Performer,1
736,3.2,4.8,4,Performer,1
737,3.7,1.7,2.7,Non-Performer,2
738,3.6,3.6,3.6,Performer,1
739,3.7,1.6,2.65,Non-Performer,2
740,3.1,3.2,3.15,Performer,1
741,4.2,1.8,3,Performer,1
742,3.5,2.5,3,Performer,1
743,2.5,4.2,3.35,Performer,1
744,4.1,3,3.55,Performer,1
745,4.4,2.8,3.6,Performer,1
746,1.8,3.3,2.55,Non-Performer,2
747,2.4,2.9,2.65,Non-Performer,2
748,1.5,3.5,2.5,Non-Performer,2
749,4.8,3.3,4.05,Performer,1
750,3.3,4.1,3.7,Performer,1
751,4.2,1.6,2.9,Non-Performer,2
752,3.7,2.5,3.1,Performer,1
753,1.2,3.5,2.35,Non-Performer,2
754,2.6,3.3,2.95,Non-Performer,2
755,2.2,2.3,2.25,Non-Performer,2
756,1.1,1.9,1.5,Non-Performer,2
757,3.6,3.1,3.35,Performer,1
758,1.8,3.6,2.7,Non-Performer,2
759,4.7,1.7,3.2,Performer,1
760,4.5,3.8,4.15,Performer,1
761,4.5,1.9,3.2,Performer,1
762,2.2,3.2,2.7,Non-Performer,2
763,4.6,3.6,4.1,Performer,1
764,4.2,1.5,2.85,Non-Performer,2
765,4.9,2,3.45,Performer,1
766,4.5,1.3,2.9,Non-Performer,2
767,4.6,3,3.8,Performer,1
768,3.6,3,3.3,Performer,1
769,3.5,3.7,3.6,Performer,1
770,2.2,1.7,1.95,Non-Performer,2
771,2.2,3.6,2.9,Non-Performer,2
772,3.9,2.9,3.4,Performer,1
773,3.5,4.4,3.95,Performer,1
774,2.8,1.8,2.3,Non-Performer,2
775,3.1,4.2,3.65,Performer,1
776,2.3,2,2.15,Non-Performer,2
777,4.4,3.9,4.15,Performer,1
778,4,1.2,2.6,Non-Performer,2
779,4.9,3,3.95,Performer,1
780,2.5,2.3,2.4,Non-Performer,2
781,3.9,2.9,3.4,Performer,1
782,1.7,3.4,2.55,Non-Performer,2
783,2.6,3.4,3,Performer,1
784,4.6,4.3,4.45,Performer,1
785,4.1,1.2,2.65,Non-Performer,2
786,2.9,1.2,2.05,Non-Performer,2
787,3.8,2.2,3,Performer,1
788,1.2,2.5,1.85,Non-Performer,2
789,4.2,2.7,3.45,Performer,1
790,2.9,2.3,2.6,Non-Performer,2
791,2.3,3.4,2.85,Non-Performer,2
792,3.4,1.3,2.35,Non-Performer,2
793,3.5,2.7,3.1,Performer,1
794,2.7,3.6,3.15,Performer,1
795,4.3,3.2,3.75,Performer,1
796,2.9,2.4,2.65,Non-Performer,2
797,4.8,2.7,3.75,Performer,1
798,3.3,1.6,2.45,Non-Performer,2
799,3.7,2.7,3.2,Performer,1
800,4,1.6,2.8,Non-Performer,2
801,1.6,4.9,3.25,Performer,1
802,4.5,3.2,3.85,Performer,1
803,3.1,3.7,3.4,Performer,1
804,4,1.2,2.6,Non-Performer,2
805,4.2,2.4,3.3,Performer,1
806,2.2,1.7,1.95,Non-Performer,2
807,3.5,3.7,3.6,Performer,1
808,1.8,1.3,1.55,Non-Performer,2
809,1.3,1.9,1.6,Non-Performer,2
810,4.4,4.7,4.55,Performer,1
811,1.5,3.3,2.4,Non-Performer,2
812,2.7,2.4,2.55,Non-Performer,2
813,2.5,4,3.25,Performer,1
814,4.8,4.6,4.7,Performer,1
815,2.2,4.3,3.25,Performer,1
816,3.8,4.8,4.3,Performer,1
817,2.7,1.9,2.3,Non-Performer,2
818,4.6,4.7,4.65,Performer,1
819,3.5,1.6,2.55,Non-Performer,2
820,3.2,3.6,3.4,Performer,1
821,2.3,2.1,2.2,Non-Performer,2
822,3.8,2.1,2.95,Non-Performer,2
823,3.2,3.7,3.45,Performer,1
824,4.7,3.5,4.1,Performer,1
825,1.1,1.5,1.3,Non-Performer,2
826,1.4,3.6,2.5,Non-Performer,2
827,4.1,3.1,3.6,Performer,1
828,2.7,4.7,3.7,Performer,1
829,3.9,2.9,3.4,Performer,1
830,3.5,2.6,3.05,Performer,1
831,1.3,4.6,2.95,Non-Performer,2
832,2.5,4,3.25,Performer,1
833,1.5,1.3,1.4,Non-Performer,2
834,3.1,4.5,3.8,Performer,1
835,2.7,1.7,2.2,Non-Performer,2
836,1.1,3.8,2.45,Non-Performer,2
837,2.3,2.2,2.25,Non-Performer,2
838,4.3,2.6,3.45,Performer,1
839,2.5,4.6,3.55,Performer,1
840,4.5,2.3,3.4,Performer,1
841,2.5,1.6,2.05,Non-Performer,2
842,4.8,2.7,3.75,Performer,1
843,4.7,4.5,4.6,Performer,1
844,1.4,1.7,1.55,Non-Performer,2
845,1.6,3,2.3,Non-Performer,2
846,4.7,2.2,3.45,Performer,1
847,1.6,4.9,3.25,Performer,1
848,3.8,3.3,3.55,Performer,1
849,4.4,1.5,2.95,Non-Performer,2
850,1.3,2.3,1.8,Non-Performer,2
851,1.9,4.8,3.35,Performer,1
852,1.7,1.2,1.45,Non-Performer,2
853,2,2.4,2.2,Non-Performer,2
854,4.3,3.7,4,Performer,1
855,2.4,2.9,2.65,Non-Performer,2
856,3.8,3.6,3.7,Performer,1
857,1.5,2.1,1.8,Non-Performer,2
858,2.3,2.7,2.5,Non-Performer,2
859,3.1,2.1,2.6,Non-Performer,2
860,2.3,3.5,2.9,Non-Performer,2
861,2.9,4,3.45,Performer,1
862,2.9,3.8,3.35,Performer,1
863,4,3.1,3.55,Performer,1
864,1.8,3.6,2.7,Non-Performer,2
865,4.5,4.1,4.3,Performer,1
866,3.3,3.4,3.35,Performer,1
867,2,1.7,1.85,Non-Performer,2
868,1.3,3.6,2.45,Non-Performer,2
869,4.3,2.7,3.5,Performer,1
870,1.7,4.4,3.05,Performer,1
871,4,4.7,4.35,Performer,1
872,2.1,2.7,2.4,Non-Performer,2
873,2.3,1.9,2.1,Non-Performer,2
874,2.8,1.4,2.1,Non-Performer,2
875,2.1,1.8,1.95,Non-Performer,2
876,3.7,1.6,2.65,Non-Performer,2
877,2.7,4.8,3.75,Performer,1
878,2.7,2.1,2.4,Non-Performer,2
879,1.9,3.9,2.9,Non-Performer,2
880,3.1,2.7,2.9,Non-Performer,2
881,3.6,4,3.8,Performer,1
882,3.9,1.8,2.85,Non-Performer,2
883,3.6,2.9,3.25,Performer,1
884,1.7,3.2,2.45,Non-Performer,2
885,2.4,1.8,2.1,Non-Performer,2
886,4.3,2.4,3.35,Performer,1
887,4.8,4.2,4.5,Performer,1
888,2.1,1.4,1.75,Non-Performer,2
889,2,1.4,1.7,Non-Performer,2
890,2.1,4.2,3.15,Performer,1
891,2.6,3.4,3,Performer,1
892,4.6,4.7,4.65,Performer,1
893,3.5,3.5,3.5,Performer,1
894,4,4.3,4.15,Performer,1
895,3.5,1.9,2.7,Non-Performer,2
896,2.6,1.4,2,Non-Performer,2
897,3.4,3.5,3.45,Performer,1
898,1.7,2.3,2,Non-Performer,2
899,2.6,2,2.3,Non-Performer,2
900,2.7,3.3,3,Performer,1
901,1.4,2.1,1.75,Non-Performer,2
902,4.9,2.2,3.55,Performer,1
903,1.7,4.1,2.9,Non-Performer,2
904,4.5,1.6,3.05,Performer,1
905,2.7,1.3,2,Non-Performer,2
906,2.1,3.3,2.7,Non-Performer,2
907,3.6,3.8,3.7,Performer,1
908,3.8,1.2,2.5,Non-Performer,2
909,2.7,2.7,2.7,Non-Performer,2
910,2.5,4.9,3.7,Performer,1
911,4,4.1,4.05,Performer,1
912,3,3.4,3.2,Performer,1
913,3.6,4.7,4.15,Performer,1
914,2.2,2.9,2.55,Non-Performer,2
915,2.7,2.1,2.4,Non-Performer,2
916,2.5,4.3,3.4,Performer,1
917,2.4,3.3,2.85,Non-Performer,2
918,2,4.1,3.05,Performer,1
919,4.8,2.4,3.6,Performer,1
920,1.5,1.1,1.3,Non-Performer,2
921,2.7,4,3.35,Performer,1
922,1.9,3.5,2.7,Non-Performer,2
923,3.9,2.4,3.15,Performer,1
924,2.1,4.6,3.35,Performer,1
925,4.2,2.7,3.45,Performer,1
926,1.9,3.2,2.55,Non-Performer,2
927,2.1,4,3.05,Performer,1
928,4,2,3,Performer,1
929,4.6,4.5,4.55,Performer,1
930,4.4,2.7,3.55,Performer,1
931,1.3,4.7,3,Performer,1
932,4.6,2.3,3.45,Performer,1
933,3.9,4.9,4.4,Performer,1
934,3.2,2.2,2.7,Non-Performer,2
935,1.6,2.2,1.9,Non-Performer,2
936,3.9,3.8,3.85,Performer,1
937,3,4.4,3.7,Performer,1
938,1.3,1.6,1.45,Non-Performer,2
939,4.3,4.6,4.45,Performer,1
940,3,1.3,2.15,Non-Performer,2
941,2.8,2,2.4,Non-Performer,2
942,2.1,4.2,3.15,Performer,1
943,3.1,2.3,2.7,Non-Performer,2
944,1.2,3.6,2.4,Non-Performer,2
945,3.3,1.2,2.25,Non-Performer,2
946,2.8,1.7,2.25,Non-Performer,2
947,3.1,3.4,3.25,Performer,1
948,1.5,3.2,2.35,Non-Performer,2
949,4.3,3.7,4,Performer,1
950,3.8,2.3,3.05,Performer,1
951,3.8,3.1,3.45,Performer,1
952,3.1,1.9,2.5,Non-Performer,2
953,3.4,3.3,3.35,Performer,1
954,2.2,4.4,3.3,Performer,1
955,3.1,4.7,3.9,Performer,1
956,2.7,2.9,2.8,Non-Performer,2
957,2.5,2.5,2.5,Non-Performer,2
958,4,2.2,3.1,Performer,1
959,2.2,4.9,3.55,Performer,1
960,3.8,4.6,4.2,Performer,1
961,3.4,2,2.7,Non-Performer,2
962,1.7,1.3,1.5,Non-Performer,2
963,3.1,4.9,4,Performer,1
964,1.7,1.8,1.75,Non-Performer,2
965,4.4,1.6,3,Performer,1
966,1.3,2.4,1.85,Non-Performer,2
967,2.4,2.1,2.25,Non-Performer,2
968,2.7,1.4,2.05,Non-Performer,2
969,4.2,1.7,2.95,Non-Performer,2
970,3.5,3.7,3.6,Performer,1
971,3.5,1.2,2.35,Non-Performer,2
972,1.8,2.5,2.15,Non-Performer,2
973,3.4,1.7,2.55,Non-Performer,2
974,2,2.8,2.4,Non-Performer,2
975,1.5,3.2,2.35,Non-Performer,2
976,1.5,2.8,2.15,Non-Performer,2
977,4,3.8,3.9,Performer,1
978,4,4,4,Performer,1
979,3,2.4,2.7,Non-Performer,2
980,3.1,4,3.55,Performer,1
981,3.8,2.6,3.2,Performer,1
982,2.1,4.1,3.1,Performer,1
983,3.6,3.8,3.7,Performer,1
984,2.4,2.8,2.6,Non-Performer,2
985,3.9,2.1,3,Performer,1
986,1.5,4.3,2.9,Non-Performer,2
987,2.8,4.5,3.65,Performer,1
988,3.6,4,3.8,Performer,1
989,4.3,3,3.65,Performer,1
990,1.2,4.1,2.65,Non-Performer,2
991,2.5,3,2.75,Non-Performer,2
992,1.7,3.5,2.6,Non-Performer,2
993,1.5,4.2,2.85,Non-Performer,2
994,4.5,2.4,3.45,Performer,1
995,4,4.6,4.3,Performer,1
996,4.7,4.1,4.4,Performer,1
997,4.7,1.5,3.1,Performer,1
998,1.1,1.3,1.2,Non-Performer,2
999,4,4.9,4.45,Performer,1
1000,3.9,2.8,3.35,Performer,1
1001,2.5,3.8,3.15,Performer,1
1002,3.8,4,3.9,Performer,1
1003,4.7,1.4,3.05,Performer,1
1004,4.1,1.3,2.7,Non-Performer,2
1005,1.6,1.7,1.65,Non-Performer,2
1006,4.3,2.2,3.25,Performer,1
1007,2,2.2,2.1,Non-Performer,2
1008,3.8,1.3,2.55,Non-Performer,2
1009,1.6,3.2,2.4,Non-Performer,2
1010,1.6,2.6,2.1,Non-Performer,2
1011,4.7,1.4,3.05,Performer,1
1012,4.6,3.8,4.2,Performer,1
1013,2.1,1.3,1.7,Non-Performer,2
1014,2.4,3.2,2.8,Non-Performer,2
1015,2.6,2,2.3,Non-Performer,2
1016,1.4,3.3,2.35,Non-Performer,2
1017,3,3.6,3.3,Performer,1
1018,3.2,3,3.1,Performer,1
1019,3.3,1.3,2.3,Non-Performer,2
1020,4.7,2.3,3.5,Performer,1
1021,4.1,3.9,4,Performer,1
1022,4.3,3.1,3.7,Performer,1
1023,4.4,3,3.7,Performer,1
1024,1.5,2,1.75,Non-Performer,2
1025,2.2,1.6,1.9,Non-Performer,2
1026,4.6,4.3,4.45,Performer,1
1027,3.6,3.6,3.6,Performer,1
1028,3.5,4,3.75,Performer,1
1029,3.5,2.6,3.05,Performer,1
1030,4.2,4.5,4.35,Performer,1
1031,2.7,2.7,2.7,Non-Performer,2
1032,1.8,3,2.4,Non-Performer,2
1033,4.4,1.7,3.05,Performer,1
1034,4.5,1.5,3,Performer,1
1035,4,1.5,2.75,Non-Performer,2
1036,4.6,2.7,3.65,Performer,1
1037,1.8,4.3,3.05,Performer,1
1038,1.2,1.8,1.5,Non-Performer,2
1039,3,2.5,2.75,Non-Performer,2
1040,2.1,3.7,2.9,Non-Performer,2
1041,2.4,4.3,3.35,Performer,1
1042,4.2,3.4,3.8,Performer,1
1043,1.7,3.9,2.8,Non-Performer,2
1044,4.2,2.8,3.5,Performer,1
1045,3.9,2.9,3.4,Performer,1
1046,4.6,2.9,3.75,Performer,1
1047,1.8,3.2,2.5,Non-Performer,2
1048,3.9,2.5,3.2,Performer,1
1049,2,4.8,3.4,Performer,1
1050,2.7,2.2,2.45,Non-Performer,2
1051,4.4,3.4,3.9,Performer,1
1052,2.5,4,3.25,Performer,1
1053,3.1,2.3,2.7,Non-Performer,2
1054,1.1,2.9,2,Non-Performer,2
1055,2.5,1.4,1.95,Non-Performer,2
1056,1.2,1.1,1.15,Non-Performer,2
1057,4.3,1.6,2.95,Non-Performer,2
1058,1.4,3.3,2.35,Non-Performer,2
1059,1.5,1.9,1.7,Non-Performer,2
1060,2.3,2.9,2.6,Non-Performer,2
1061,1.8,4.2,3,Performer,1
1062,1.9,2.6,2.25,Non-Performer,2
1063,3.7,1.4,2.55,Non-Performer,2
1064,3.8,1.5,2.65,Non-Performer,2
1065,1.8,4.5,3.15,Performer,1
1066,2.5,3.5,3,Performer,1
1067,1.2,1.5,1.35,Non-Performer,2
1068,2,2.6,2.3,Non-Performer,2
1069,2.9,2.3,2.6,Non-Performer,2
1070,3.5,2.9,3.2,Performer,1
1071,2,2.7,2.35,Non-Performer,2
1072,3.2,2.7,2.95,Non-Performer,2
1073,4,2.3,3.15,Performer,1
1074,4.3,3.3,3.8,Performer,1
1075,4.1,4.8,4.45,Performer,1
1076,1.8,1.8,1.8,Non-Performer,2
1077,1.7,3.9,2.8,Non-Performer,2
1078,4.5,3.8,4.15,Performer,1
1079,2.2,3.2,2.7,Non-Performer,2
1080,1.7,2.4,2.05,Non-Performer,2
1081,3.4,3.4,3.4,Performer,1
1082,4.3,2.7,3.5,Performer,1
1083,3,3.5,3.25,Performer,1
1084,2,2.3,2.15,Non-Performer,2
1085,4.4,1.7,3.05,Performer,1
1086,2.4,4.8,3.6,Performer,1
1087,1.6,2.8,2.2,Non-Performer,2
1088,4,1.5,2.75,Non-Performer,2
1089,3.3,3.1,3.2,Performer,1
1090,1.3,2.7,2,Non-Performer,2
1091,2.8,4.1,3.45,Performer,1
1092,1.8,1.2,1.5,Non-Performer,2
1093,4.6,1.5,3.05,Performer,1
1094,2,2.3,2.15,Non-Performer,2
1095,3.4,4.6,4,Performer,1
1096,3.1,2.5,2.8,Non-Performer,2
1097,1.3,4.3,2.8,Non-Performer,2
1098,4,3.2,3.6,Performer,1
1099,3.8,3.6,3.7,Performer,1
1100,1.3,4.1,2.7,Non-Performer,2
1101,1.7,1.6,1.65,Non-Performer,2
1102,2.4,3.6,3,Performer,1
1103,4.6,1.7,3.15,Performer,1
1104,1.3,4.4,2.85,Non-Performer,2
1105,4.6,4.2,4.4,Performer,1
1106,3.7,3.4,3.55,Performer,1
1107,2,4,3,Performer,1
1108,2.6,3.7,3.15,Performer,1
1109,4.2,2.8,3.5,Performer,1
1110,2.6,1.7,2.15,Non-Performer,2
1111,2.2,3.4,2.8,Non-Performer,2
1112,2.5,4.8,3.65,Performer,1
1113,1.7,3.6,2.65,Non-Performer,2
1114,2.2,3.9,3.05,Performer,1
1115,3.1,1.1,2.1,Non-Performer,2
1116,2.8,2.4,2.6,Non-Performer,2
1117,3.1,2.5,2.8,Non-Performer,2
1118,4,4.4,4.2,Performer,1
1119,4.4,4.2,4.3,Performer,1
1120,4,3.8,3.9,Performer,1
1121,2,4.6,3.3,Performer,1
1122,1.9,2.6,2.25,Non-Performer,2
1123,3.8,4.1,3.95,Performer,1
1124,1.2,2.2,1.7,Non-Performer,2
1125,4.7,2.4,3.55,Performer,1
1126,2.1,4.5,3.3,Performer,1
1127,1.6,3.5,2.55,Non-Performer,2
1128,3.3,3.5,3.4,Performer,1
1129,1.8,2.4,2.1,Non-Performer,2
1130,1.2,4.9,3.05,Performer,1
1131,3,2.5,2.75,Non-Performer,2
1132,1.4,3.5,2.45,Non-Performer,2
1133,1.7,1.4,1.55,Non-Performer,2
1134,1.2,3.1,2.15,Non-Performer,2
1135,1.7,4.7,3.2,Performer,1
1136,1.9,3.4,2.65,Non-Performer,2
1137,3.6,4.4,4,Performer,1
1138,2,2.8,2.4,Non-Performer,2
1139,4.8,4.5,4.65,Performer,1
1140,1.1,4.6,2.85,Non-Performer,2
1141,1.9,1.3,1.6,Non-Performer,2
1142,1.8,1.7,1.75,Non-Performer,2
1143,3.4,2.5,2.95,Non-Performer,2
1144,4,4.7,4.35,Performer,1
1145,1.7,3,2.35,Non-Performer,2
1146,4.6,1.6,3.1,Performer,1
1147,3.3,1.9,2.6,Non-Performer,2
1148,4.3,3.1,3.7,Performer,1
1149,2.4,4.3,3.35,Performer,1
1150,1.8,4.3,3.05,Performer,1
1151,3.9,3,3.45,Performer,1
1152,2.7,3.9,3.3,Performer,1
1153,1.4,1.2,1.3,Non-Performer,2
1154,2,3.9,2.95,Non-Performer,2
1155,3.6,1.6,2.6,Non-Performer,2
1156,4.1,1.1,2.6,Non-Performer,2
1157,4.8,2.5,3.65,Performer,1
1158,3.9,2.1,3,Performer,1
1159,1.3,3.6,2.45,Non-Performer,2
1160,4.9,2.8,3.85,Performer,1
1161,1.3,3.8,2.55,Non-Performer,2
1162,2,4.9,3.45,Performer,1
1163,4.4,1.7,3.05,Performer,1
1164,4.5,3,3.75,Performer,1
1165,3.4,3,3.2,Performer,1
1166,2.5,4.5,3.5,Performer,1
1167,3.7,2.1,2.9,Non-Performer,2
1168,2,1.6,1.8,Non-Performer,2
1169,4.4,3.1,3.75,Performer,1
1170,4.2,1.7,2.95,Non-Performer,2
1171,3.2,3.8,3.5,Performer,1
1172,4.2,2.5,3.35,Performer,1
1173,4.3,3.3,3.8,Performer,1
1174,4.2,4.7,4.45,Performer,1
1175,4.9,3.9,4.4,Performer,1
1176,4.4,1.3,2.85,Non-Performer,2
1177,2.7,2.8,2.75,Non-Performer,2
1178,2.6,1.2,1.9,Non-Performer,2
1179,1.7,2.4,2.05,Non-Performer,2
1180,4.3,4.2,4.25,Performer,1
1181,1.5,4.2,2.85,Non-Performer,2
1182,4.4,1.5,2.95,Non-Performer,2
1183,1.8,2.2,2,Non-Performer,2
1184,3,1.9,2.45,Non-Performer,2
1185,3.3,1.3,2.3,Non-Performer,2
1186,2.6,1.4,2,Non-Performer,2
1187,4.6,4,4.3,Performer,1
1188,4.3,2.2,3.25,Performer,1
1189,2.6,1.7,2.15,Non-Performer,2
1190,2.2,1.9,2.05,Non-Performer,2
1191,2.8,4.2,3.5,Performer,1
1192,2.2,4.3,3.25,Performer,1
1193,4.3,1.2,2.75,Non-Performer,2
1194,1.8,2.2,2,Non-Performer,2
1195,3.8,4.1,3.95,Performer,1
1196,2.1,2,2.05,Non-Performer,2
1197,1.5,2.5,2,Non-Performer,2
1198,1.6,2.4,2,Non-Performer,2
1199,3.6,4.9,4.25,Performer,1
1200,3.2,1.6,2.4,Non-Performer,2
1201,2.8,2.1,2.45,Non-Performer,2
1202,3.7,3.2,3.45,Performer,1
1203,3.9,1.7,2.8,Non-Performer,2
1204,3.5,3.9,3.7,Performer,1
1205,1.7,4.8,3.25,Performer,1
1206,2.6,1.8,2.2,Non-Performer,2
1207,3.8,3.4,3.6,Performer,1
1208,4.7,2.3,3.5,Performer,1
1209,3.6,3.9,3.75,Performer,1
1210,4.6,1.4,3,Performer,1
1211,1.4,4.7,3.05,Performer,1
1212,2.8,2.3,2.55,Non-Performer,2
1213,1.7,1.3,1.5,Non-Performer,2
1214,2,2.4,2.2,Non-Performer,2
1215,4,1.8,2.9,Non-Performer,2
1216,1.3,3.4,2.35,Non-Performer,2
1217,3.8,2.8,3.3,Performer,1
1218,4.2,1.3,2.75,Non-Performer,2
1219,2.7,2.2,2.45,Non-Performer,2
1220,4.4,3.8,4.1,Performer,1
1221,4.3,4.2,4.25,Performer,1
1222,4.2,2,3.1,Performer,1
1223,3.1,4.5,3.8,Performer,1
1224,2.7,3,2.85,Non-Performer,2
1225,1.3,1.8,1.55,Non-Performer,2
1226,1.7,4.2,2.95,Non-Performer,2
1227,1.4,2.5,1.95,Non-Performer,2
1228,4.1,2.4,3.25,Performer,1
1229,1.6,4.8,3.2,Performer,1
1230,2.8,1.6,2.2,Non-Performer,2
1231,1.5,3.9,2.7,Non-Performer,2
1232,2,2.6,2.3,Non-Performer,2
1233,4.4,4,4.2,Performer,1
1234,2,3,2.5,Non-Performer,2
1235,3.1,4.7,3.9,Performer,1
1236,4.9,3,3.95,Performer,1
1237,2.2,2.1,2.15,Non-Performer,2
1238,3.8,1.7,2.75,Non-Performer,2
1239,1.3,1.4,1.35,Non-Performer,2
1240,4.1,4.1,4.1,Performer,1
1241,2.8,3.2,3,Performer,1
1242,2,4.2,3.1,Performer,1
1243,2.3,1.5,1.9,Non-Performer,2
1244,1.6,4.7,3.15,Performer,1
1245,1.9,4.7,3.3,Performer,1
1246,2.8,1.6,2.2,Non-Performer,2
1247,4.6,1.3,2.95,Non-Performer,2
1248,4.2,4.1,4.15,Performer,1
1249,1.3,4.9,3.1,Performer,1
1250,2.5,1.4,1.95,Non-Performer,2
1251,2.6,4.2,3.4,Performer,1
1252,3.6,3.4,3.5,Performer,1
1253,1.7,3.6,2.65,Non-Performer,2
1254,2.1,4.7,3.4,Performer,1
1255,1.8,2,1.9,Non-Performer,2
1256,1.6,2.9,2.25,Non-Performer,2
1257,1.9,1.4,1.65,Non-Performer,2
1258,3,4.2,3.6,Performer,1
1259,4.7,3.8,4.25,Performer,1
1260,3.4,4.1,3.75,Performer,1
1261,2.4,3.1,2.75,Non-Performer,2
1262,2.6,4.5,3.55,Performer,1
1263,1.3,3.8,2.55,Non-Performer,2
1264,2.1,4.2,3.15,Performer,1
1265,3.7,2.2,2.95,Non-Performer,2
1266,3,2.3,2.65,Non-Performer,2
1267,2.7,4.7,3.7,Performer,1
1268,4,3.4,3.7,Performer,1
1269,2.2,4.5,3.35,Performer,1
1270,1.6,1.2,1.4,Non-Performer,2
1271,2.5,2.7,2.6,Non-Performer,2
1272,2.3,3.3,2.8,Non-Performer,2
1273,4.2,3.8,4,Performer,1
1274,4.6,1.3,2.95,Non-Performer,2
1275,2.8,3.2,3,Performer,1
1276,2.7,2.6,2.65,Non-Performer,2
1277,2.3,1.2,1.75,Non-Performer,2
1278,1.8,3.8,2.8,Non-Performer,2
1279,3,4,3.5,Performer,1
1280,2.1,3.1,2.6,Non-Performer,2
1281,1.5,3,2.25,Non-Performer,2
1282,1.1,1.3,1.2,Non-Performer,2
1283,2.1,4.6,3.35,Performer,1
1284,4,2.1,3.05,Performer,1
1285,4.1,3,3.55,Performer,1
1286,4.5,1.8,3.15,Performer,1
1287,1.6,3.4,2.5,Non-Performer,2
1288,2.9,1.8,2.35,Non-Performer,2
1289,4.1,4.2,4.15,Performer,1
1290,3,1.3,2.15,Non-Performer,2
1291,2.2,1.2,1.7,Non-Performer,2
1292,2.2,2.9,2.55,Non-Performer,2
1293,2.5,4.2,3.35,Performer,1
1294,4.3,4.1,4.2,Performer,1
1295,3.2,4.4,3.8,Performer,1
1296,3.1,4.4,3.75,Performer,1
1297,2.1,3.4,2.75,Non-Performer,2
1298,2.3,3.2,2.75,Non-Performer,2
1299,3.1,3.2,3.15,Performer,1
1300,4.9,1.2,3.05,Performer,1
1301,2.3,1.1,1.7,Non-Performer,2
1302,2.3,3.9,3.1,Performer,1
1303,2.6,2.2,2.4,Non-Performer,2
1304,2.7,1.1,1.9,Non-Performer,2
1305,3.1,2.8,2.95,Non-Performer,2
1306,1.2,2.6,1.9,Non-Performer,2
1307,2.5,4.6,3.55,Performer,1
1308,1.3,1.7,1.5,Non-Performer,2
1309,2.9,3.1,3,Performer,1
1310,4.4,4.1,4.25,Performer,1
1311,4.3,2.8,3.55,Performer,1
